iter	Passed	Remaining
308	9023	20178
309	9058	20162
310	9081	20118
311	9101	20070
312	9126	20031
313	9154	19999
314	9185	19973
315	9218	19953
316	9250	19930
317	9284	19911
318	9317	19891
319	9348	19866
320	9383	19847
321	9413	19820
322	9435	19777
323	9468	19755
324	9508	19748
325	9531	19707
326	9561	19678
327	9606	19681
328	9629	19640
329	9663	19618
330	9720	19645
331	9762	19643
332	9828	19686
333	9885	19711
334	9943	19739
335	9988	19738
336	10043	19758
337	10085	19753
338	10123	19739
339	10156	19715
340	10184	19681
341	10212	19649
342	10246	19626
343	10273	19591
344	10307	19568
345	10338	19542
346	10364	19504
347	10395	19476
348	10461	19513
349	10481	19465
350	10502	19419
351	10528	19381
352	10557	19349
353	10595	19334
354	10625	19304
355	10670	19301
356	10704	19280
357	10732	19246
358	10764	19219
359	10792	19186
360	10827	19165
361	10854	19129
362	10884	19101
363	10907	19058
364	10932	19019
365	10964	18992
366	10999	18971
367	11046	18970
368	11088	18961
369	11122	18938
370	11146	18898
371	11189	18889
372	11222	18864
373	11246	18823
374	11273	18789
375	11293	18742
376	11317	18703
377	11337	18656
378	11357	18609
379	11391	18585
380	11418	18551
381	11440	18509
382	11478	18491
383	11499	18447
384	11519	18401
385	11572	18407
386	11617	18401
387	11650	18377
388	11687	18358
389	11717	18327
390	11756	18311
391	11801	18305
392	11850	18303
393	11885	18280
394	11913	18247
395	11938	18208
396	11979	18195
397	12001	18152
398	12026	18115
399	12048	18072
400	12069	18029
401	12103	18004
